,0
people,0.09017946401677597
partner,0.06949720585770136
company,0.1522632450785431
customer,0.09900915360235789
platform,0.06646533793594753
learn,0.04746699585676439
sit_down,0.01419293492709418
great,0.07462248968773387
wonderful,0.021654485929136293
smarter,0.015632899245225654
focus,0.07788013144486096
build,0.08325744413128985
person,0.03989067296660287
director,0.14717535872055032
assist,0.06046261537974935
joint,0.01385835649861419
support,0.08761295348628123
association,0.00295822041887354
success,0.057412379783814346
together_with,0.01128416141140275
forefront,0.026313227697363006
responsibility,0.027579577640737468
seriously,0.023633244280201877
best,0.08733175708960769
sincerely,0.006376732006056932
executive,0.03422120013371937
discussion,0.08915139697150769
contact,0.0800936347257511
communication,0.01661385440711576
on_behalf_of,0.027837733171819583
engage,0.06619585744706147
assure,0.03408732638507578
hire,0.030062176880293865
critical,0.06356152124070212
consultative,0.00460131910081542
integrity,0.008417818141403157
journalism,0.0012759557869764745
honest,0.06177935199755019
instrumental,0.006451658991348471
safety,0.01888547046083419
credentials,0.011848678922106106
proud,0.030554433765270592
serve,0.041712960648635174
executive_team,0.014539907523366945
responsible,0.03217761116705489
passion,0.0124441484924543
safety_management,0.0012759557869764745
fantastic,0.048533681148213895
commit,0.05834593418432917
effort,0.04877060269561889
organization,0.08853003473203823
requirement,0.05948994537755782
advice,0.05326668871083711
management_people,0.0012759557869764745
efficient,0.05342731633166655
network,0.13662280463770654
enable,0.07389243720660382
conversation,0.052310853864220117
alliance_partner,0.0033490286134028797
service,0.11044435702944214
deliver,0.10249011005231723
skill,0.024019421994309165
passionately,0.0012759557869764745
manager,0.0233689574886262
importantly,0.060572914350500925
young,0.022061396800993865
management,0.07391781872779482
deserve,0.0108232895098735
coaching,0.002551911573952949
mentore,0.0012759557869764745
team,0.09455739647838556
superb,0.0030010634336074486
praise,0.005297564125322389
staff,0.07310555347709854
customer_relationship,0.03695657783535011
modern,0.03432962405484892
incredible,0.01718143594567886
culture,0.04212802489327004
reward,0.039600247520897594
talent,0.0088248790423954
esteem,0.0012759557869764745
brand,0.10968709375931948
expert,0.036364957065664394
relationship,0.10563466481084244
customer_base,0.05333157422864573
collaboration,0.01172440597801439
create,0.07328073078218798
interaction,0.01898691261716212
commitment,0.052065419838628176
reliability,0.01704138038022992
technological,0.005368351681435902
simplify,0.04971905406704052
consistency,0.024649443971088536
product,0.12037890885455134
together,0.06487522114413158
customer_service,0.012118556023121197
ability,0.0710102619098977
freedom,0.008371558212654518
customer_satisfaction,0.035054631215826394
customer_need,0.007641008671731409
loyalty,0.01245585000517908
keen,0.03213478403805275
frustration,0.016908699284870512
nimble,0.012421617403594138
agile,0.007188351946584242
speed,0.04023049731898005
agility,0.004843365591831905
management_team,0.056492898649323504
genuinely,0.03275110368440158
convince,0.021486208065255606
honestly,0.013902290811494779
fun,0.004721707385346008
leadership_group,0.0012759557869764745
diligent,0.0026009300723923265
tribute,0.0023996060065384537
efficiency,0.07200038471945726
powerful,0.020452071733090986
productivity,0.07284871435241602
attract,0.0549327521475702
alliance,0.050035228173157885
design,0.03803633962487468
successful,0.07779552535830601
differentiate,0.02764868119325075
involve,0.08313627660603991
delivery,0.04782509629374363
explore,0.02317433066106843
alliance_relationship,0.002511514963781826
mission,0.004179994518276642
business_model,0.03425947599332822
collaboratively,0.006428573710075676
co-chair,0.015677469183855496
co-partner,0.0031354938367710995
partnership,0.06453698530168889
connectivity,0.02263018920155802
responsive,0.008053738946938248
develop,0.07535431784521558
effectiveness,0.014665938433054476
distribution_partner,0.00709877699626608
business_people,0.005262147930539251
supply_chain,0.012982134103343425
align,0.07353865392670776
product_service,0.03310022217081888
client,0.08179256985074514
consultation,0.03610547864995382
resource,0.053489690909062505
collaborate,0.005081279430415888
infrastructure,0.06744708590507262
innovative,0.02049937349999413
creative,0.01834404086276028
transform,0.015951650770329888
execution,0.02659907881789936
supportive,0.044973028114017474
content,0.013439345439156378
seamless,0.013670051173628633
mantra,0.004050007471718827
desire,0.027061115957755143
stand_up,0.017545157445186657
mindset,0.017767384912047487
arrogant,0.008171750357801896
operation_team,0.0025298221343606456
principle,0.03922425867319204
union,0.008312048290180042
high-performance,0.0025298221343606456
engagement,0.034800347480136135
jointly,0.005408671815126638
quality,0.07657744361686615
high-value,0.015119991601990287
conjunction,0.024415688051648017
cooperation,0.004646828104536919
ensure,0.08134188346378385
prudence,0.01067317988327796
excitement,0.01541491374324852
vision,0.037638686397546
customer_experience,0.03617618655578756
clever,0.009548342770556535
smart,0.056905904074501495
intelligent,0.013503224478146118
solution,0.08577789099147365
put_together,0.02434528149518646
recipe,0.009480174388159113
alignment,0.03144957508489604
sale_organization,0.005497979787051107
sale_team,0.01781414938039412
product_quality,0.005497979787051107
innovation,0.030523334943562408
interface,0.014774295067264066
training,0.017891844805429116
dedicated,0.013070955393552658
regulator,0.08866744013380845
service_quality,0.006540588439248077
business_process,0.010900241426158603
truth,0.013058448995370835
efficiently,0.028642093947984504
train,0.01099869409912252
adviser,0.026612343756547512
rewarding,0.004972575826237405
advocate,0.03532613410007514
technology,0.09553028813995121
exciting,0.029586175771002053
task,0.016106672434788142
council,0.022060210090688807
stakeholder,0.03666512553764726
leadership_team,0.015293399181692993
oversight,0.004956149077969622
amazing,0.009083507086385861
excellence,0.00485324457301037
governance,0.01624588558480848
fellow,0.011788702566993716
knowledge,0.028300175781038616
expertise,0.014263172280391671
involvement,0.007930741184413115
workplace,0.0008150535131251456
taste,0.0008150535131251456
capable,0.023740516064632868
world-leading,0.0031554313911842935
enhance,0.032218971892617417
shopping_experience,0.0008150535131251456
high-quality,0.03482827012011497
leader,0.027376064703648777
collaborative,0.0008150535131251456
productive,0.023328064242910368
personalized,0.014902547902479243
passionate,0.015702658874624933
member,0.055302472327892635
transparency,0.030502421075704722
committee,0.020809574552877134
unanimously,0.012457279290005199
privilege,0.00934928051595464
unparalleled,0.0008150535131251456
business_leader,0.0008150535131251456
faith,0.0127654616125417
satisfaction,0.005396373312983979
leadership,0.030846745151250413
foundation,0.014300698638021381
risk_committee,0.005934827058189993
governance_structure,0.003746439253496877
skill_set,0.005243660733496176
engineer,0.021977493364260973
honor,0.005604741881054573
relentless,0.006600283824925149
talented,0.011892531243661486
endorsement,0.0020591502196842747
workforce,0.013529761268350413
